"","model","wt","upp","low","week","alpha","step","rep"
"297","arima",0.85912656516,0.975646025,0.606185725,2,1,1,2
"298","asg",0.0240551159101742,0.0902755450000001,0.000601542825,2,1,1,2
"299","naive",0.0358615226128442,0.13600275,0.000887583825,2,1,1,2
"300","sir",0.0809567924299164,0.31612055,0.00191481625,2,1,1,2
"301","arima",0.270582605,0.335984025,0.209452,2,50,1,2
"302","asg",0.22858038774,0.28787915,0.1746962,2,50,1,2
"303","naive",0.24229910892,0.30329205,0.18585975,2,50,1,2
"304","sir",0.25853789904,0.321652,0.199605925,2,50,1,2
"305","arima",0.91679730562,0.985391025,0.772137975,3,1,1,2
"306","asg",0.0116928552942031,0.0436571475,0.000295308325,3,1,1,2
"307","naive",0.0241296682169319,0.0912247375,0.000589143825,3,1,1,2
"308","sir",0.0473801709288358,0.1798,0.00107752775,3,1,1,2
"309","arima",0.28601988416,0.3539091,0.2227869,3,50,1,2
"310","asg",0.20181937194,0.25662855,0.152430875,3,50,1,2
"311","naive",0.24580580578,0.308906025,0.1883038,3,50,1,2
"312","sir",0.26635494388,0.33124605,0.205928775,3,50,1,2
"313","arima",0.9470529038,0.990372025,0.860699,4,1,1,2
"314","asg",0.00831453325887044,0.030558295,0.000228142975,4,1,1,2
"315","naive",0.0165926823445977,0.0610176475,0.000391028925,4,1,1,2
"316","sir",0.0280398805688025,0.104377225,0.000731479175,4,1,1,2
"317","arima",0.30477235338,0.37467305,0.238685825,4,50,1,2
"318","asg",0.185995640062,0.237500275,0.140052825,4,50,1,2
"319","naive",0.24205449482,0.304591075,0.184830875,4,50,1,2
"320","sir",0.26717751268,0.333460125,0.2065499,4,50,1,2
"321","arima",0.96340188902,0.992726025,0.906380075,5,1,1,2
"322","asg",0.00666528673244032,0.0247244175000001,0.0001691438,5,1,1,2
"323","naive",0.0140049195725025,0.0519304725,0.00035900245,5,1,1,2
"324","sir",0.0159279036776849,0.060361285,0.00043472455,5,1,1,2
"325","arima",0.31674217482,0.38919445,0.248738975,5,50,1,2
"326","asg",0.174613597698,0.222944,0.131458825,5,50,1,2
"327","naive",0.24743394702,0.310967075,0.189709825,5,50,1,2
"328","sir",0.2612102806,0.3262463,0.200730825,5,50,1,2
